imdb_id,year,title,type,duration,director,description
tt8527036,2018,Inside the Manson Cult: The Lost Tapes,Movie,120,Hugh Ballantyne,"A retelling of the Manson story using original, archived 16mm footage."
tt7689940,2018,The Oslo Diaries,Movie,97,Mor Loushy,A group of Israelis and Palestinians come together in Oslo for an unsanctioned peace talks during the 1990s in order to bring peace to the Middle East.
tt7689940,2018,The Oslo Diaries,Movie,97,Daniel Sivan,A group of Israelis and Palestinians come together in Oslo for an unsanctioned peace talks during the 1990s in order to bring peace to the Middle East.
tt5844196,2018,Hal,Movie,90,Amy Scott,"Hal Ashby's obsessive genius led to an unprecedented string of Oscar®-winning classics, including Harold and Maude, Shampoo and Being There. But as contemporaries Coppola, Scorsese and ... See full summary »"
tt5556152,2018,Pistorius,Movie,225,Vaughan Sivell,"PISTORIUS is a feature documentary about the South African Paralympic and Olympic sprinter Oscar Pistorius, who shot and killed his girlfriend in the early hours of Valentine's Day 2013. ... See full summary »"
tt1645089,2010,Inside Job,Movie,105,Charles Ferguson,Takes a closer look at what brought about the 2008 financial meltdown.
tt5083702,2015,The Fear of 13,Movie,96,David Sington,A convicted murderer who has spent 23 years on Death Row tells his story.
tt5168832,2018,After Porn Ends 2,Movie,90,Bryce Wagoner,"After Porn Ends 2 picks up where its predecessor left off, and not only turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of its most... See full summary »"
tt5773986,2018,Studio 54,Movie,98,Matt Tyrnauer,"Studio 54 was the epicenter of 70s hedonism--a place that not only redefined the nightclub, but also came to symbolize an entire era. Its co-owners, Ian Schrager and Steve Rubell, two ... See full summary »"
tt6203570,2017,Mountain,Movie,74,Jennifer Peedom,An experience about the highest peaks around the world.
tt7153434,2018,Science Fair,Movie,90,Cristina Costantini,"Nine high school students from disparate corners of the globe navigate rivalries, setbacks, and hormones on their quest to win the international science fair. Only one can be named ""Best in Fair."""
tt5598102,2017,Faces Places,Movie,94,JR,Director Agnes Varda and photographer/muralist J.R. journey through rural France and form an unlikely friendship.
tt2125608,2012,Searching for Sugar Man,Movie,86,Malik Bendjelloul,"Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock n roller, Rodriguez."
tt1966604,2012,The Imposter,Movie,99,Bart Layton,A documentary centered on a young man in Spain who claims to a grieving Texas family that he is their 16-year-old son who has been missing for 3 years.
tt7364566,2017,Maria by Callas,Movie,113,Tom Volf,"An intimate look at the life and work of Greek-American opera singer, Maria Callas, as told in her own words."
tt7214762,2017,Jim & Andy: The Great Beyond,Movie,94,Chris Smith,A behind-the-scenes look at how Jim Carrey adopted the persona of idiosyncratic comedian Andy Kaufman on the set of Man on the Moon (1999).
tt8412232,2018,A Leaf of Faith,Movie,86,Chris Bell,"This documentary explores Kratom, a botanical supplement that has been proposed as an alternative to today's opioid painkillers."
tt8412232,2018,A Leaf of Faith,Movie,86,David Baca Jr.,"This documentary explores Kratom, a botanical supplement that has been proposed as an alternative to today's opioid painkillers."
tt0077157,1978,American Boy: A Profile of - Steven Prince,Movie,55,Martin Scorsese,"Director Martin Scorsese talks to actor Steven Prince about his past. As the night goes on, Prince reveals some very amusing and moving stories of his experiences with drugs and violence."
tt8068936,2018,I Am Paul Walker,Movie,90,Adrian Buitenhuis,Documentary examining the life of the late actor Paul Walker.
tt4078252,2016,City of Joy,Movie,74,Madeleine Gavin,"This film follows the first class of students at a remarkable leadership center in the Eastern Democratic Republic of Congo, a region often referred to as ""the worst place in the world to ... See full summary »"
tt5836866,2017,The Work,Movie,89,Jairus McLeary,"Set inside a single room in Folsom Prison, three men from the outside participate in a four-day group-therapy retreat with a group of incarcerated men for a real look at the challenges of rehabilitation."
tt5836866,2017,The Work,Movie,89,Gethin Aldous,"Set inside a single room in Folsom Prison, three men from the outside participate in a four-day group-therapy retreat with a group of incarcerated men for a real look at the challenges of rehabilitation."
tt0386032,2007,Sicko,Movie,123,Michael Moore,"A documentary comparing the highly profitable American health care industry to other nations, and HMO horror stories including shotgun deaths."
tt4897822,2015,Where to Invade Next,Movie,120,Michael Moore,"To learn what the USA can learn from other nations, Michael Moore playfully ""invades"" them to see what they have to offer."
tt8126390,2018,The Most Unknown,Movie,92,Ian Cheney,The Most Unknown is an epic documentary film that sends nine scientists to extraordinary parts of the world to uncover unexpected answers to some of humanity's biggest questions. How did ... See full summary »
tt1291547,2012,After Porn Ends,Movie,94,Bryce Wagoner,An exploration of the lives of several former adult performers who have retired from the porn industry.
tt7476236,2018,Minding the Gap,Movie,93,Bing Liu,"Three young men bond together to escape volatile families in their Rust-Belt hometown. As they face adult responsibilities, unexpected revelations threaten their decade-long friendship."
tt0358456,2005,Earthlings,Movie,95,Shaun Monson,"Using hidden cameras and never-before-seen footage, Earthlings chronicles the day-to-day practices of the largest industries in the world, all of which rely entirely on animals for profit."
tt7520286,2018,Bisbee '17,Movie,112,Robert Greene,An old mining town on the Arizona-Mexico border finally reckons with its darkest day: the deportation of 1200 immigrant miners exactly 100 years ago. Locals collaborate to stage recreations of their controversial past.
tt3041550,2018,Matangi/Maya/M.I.A.,Movie,96,Steve Loveridge,"Drawn from a never-before-seen cache of personal footage spanning decades, this is an intimate portrait of the Sri Lankan artist and musician who continues to shatter conventions."
tt5895028,2016,13th,Movie,100,Ava DuVernay,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.
tt6400614,2017,Unacknowledged,Movie,100,Michael Mazzola,"""Unacknowledged"" focuses on the historic files of the Disclosure Project and how UFO secrecy has been ruthlessly enforced-and why. The best evidence for extraterrestrial contact, dating ... See full summary »"
tt6035294,2017,The Magic Pill,Movie,91,Robert Tate,"People around the globe are combating illness through a paradigm shift in eating. And this simple change -- embracing fat as our main fuel -- is showing profound promise in improving the health of people, animals and the planet."
tt7689966,2018,Robin Williams: Come Inside My Mind,Movie,116,Marina Zenovich,"An intimate look into the life and work of the revered master comedian and actor, Robin Williams."
tt2870648,2015,Amy III,Movie,128,Asif Kapadia,Archival footage and personal testimonials present an intimate portrait of the life and career of British singer/songwriter Amy Winehouse.
tt6915100,2018,Pope Francis: A Man of His Word,Movie,96,Wim Wenders,Pope Francis travels the world speaking to those in need and delivering a message of hope.
tt5338774,2017,Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,Movie,95,Randall Lobb,The history of Mattel's definitive action figure toy line.
tt5338774,2017,Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,Movie,95,Robert McCallum,The history of Mattel's definitive action figure toy line.
tt0390521,2004,Super Size Me,Movie,100,Morgan Spurlock,"While examining the influence of the fast food industry, Morgan Spurlock personally explores the consequences on his health of a diet of solely McDonald's food for one month."
tt6163356,2016,Michael Moore in TrumpLand,Movie,73,Michael Moore,"In the weeks before the 2016 general election, Oscar-winning filmmaker Michael Moore performs a pro-Hillary Clinton stand-up show deep in the heart of TrumpLand."
tt7689958,2018,Jane Fonda in Five Acts,Movie,133,Susan Lacy,"A look at the life, work, activism and controversies of actress and fitness tycoon, Jane Fonda."
tt2375605,2012,The Act of Killing,Movie,117,Joshua Oppenheimer,"A documentary which challenges former Indonesian death-squad leaders to reenact their mass-killings in whichever cinematic genres they wish, including classic Hollywood crime scenarios and lavish musical numbers."
tt2375605,2012,The Act of Killing,Movie,117,Christine Cynn,"A documentary which challenges former Indonesian death-squad leaders to reenact their mass-killings in whichever cinematic genres they wish, including classic Hollywood crime scenarios and lavish musical numbers."
tt2545118,2013,Blackfish,Movie,83,Gabriela Cowperthwaite,"A documentary following the controversial captivity of killer whales, and its dangers for both humans and whales."
tt5362352,2016,DC's Legends of Tomorrow: Their Time Is Now,Movie,22,Greg Berlanti,"The producers introduce audiences to the characters and concepts of ""Legends of Tomorrow"", the upcoming spin-off of superhero series ""Arrow"" and ""The Flash""."
tt5362352,2016,DC's Legends of Tomorrow: Their Time Is Now,Movie,22,Casper Crump,"The producers introduce audiences to the characters and concepts of ""Legends of Tomorrow"", the upcoming spin-off of superhero series ""Arrow"" and ""The Flash""."
tt6323306,2017,Nude,Movie,94,Tony Sacco,NUDE explores perceptions of nudity in art by chronicling the creative process of photographer David Bellemere as he's commissioned by NU Muses founder Steve Shaw to shoot a fine art calendar of nude photographs.
tt8116574,2018,The Raft,Movie,97,Marcus Lindeen,"In 1973, five men and six women drifted across the Atlantic on a raft as part of a scientific experiment studying the sociology of violence, aggression and sexual attraction in human ... See full summary »"
tt5278506,2016,Tickled,Movie,92,David Farrier,"Journalist David Farrier stumbles upon a mysterious tickling competition online. As he delves deeper he comes up against fierce resistance, but that doesn't stop him getting to the bottom of a story stranger than fiction."
tt5278506,2016,Tickled,Movie,92,Dylan Reeve,"Journalist David Farrier stumbles upon a mysterious tickling competition online. As he delves deeper he comes up against fierce resistance, but that doesn't stop him getting to the bottom of a story stranger than fiction."
tt0073076,1975,Grey Gardens,Movie,94,Ellen Hovde,"An old mother and her middle-aged daughter, the aunt and cousin of Jacqueline Kennedy, live their eccentric lives in a filthy, decaying mansion in East Hampton."
tt0073076,1975,Grey Gardens,Movie,94,Albert Maysles,"An old mother and her middle-aged daughter, the aunt and cousin of Jacqueline Kennedy, live their eccentric lives in a filthy, decaying mansion in East Hampton."
tt0073076,1975,Grey Gardens,Movie,94,David Maysles,"An old mother and her middle-aged daughter, the aunt and cousin of Jacqueline Kennedy, live their eccentric lives in a filthy, decaying mansion in East Hampton."
tt0073076,1975,Grey Gardens,Movie,94,Muffie Meyer,"An old mother and her middle-aged daughter, the aunt and cousin of Jacqueline Kennedy, live their eccentric lives in a filthy, decaying mansion in East Hampton."
tt8106576,2018,The Bleeding Edge,Movie,99,Kirby Dick,A look at the unforeseen consequences of advanced technological devices used in the medical field.
tt0427312,2005,Grizzly Man,Movie,103,Werner Herzog,"A devastating and heartrending take on grizzly bear activists Timothy Treadwell and Amie Huguenard, who were killed in October of 2003 while living among grizzlies in Alaska."
tt077080,2011,Samsara (I),Movie,102,Ron Fricke,"Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders."
tt0085809,1982,Koyaanisqatsi,Movie,86,Godfrey Reggio,"A collection of expertly photographed phenomena with no conventional plot. The footage focuses on nature, humanity and the relationship between them."
tt5952332,2016,Amanda Knox,Movie,92,Rod Blackhurst,American exchange student Amanda Knox is convicted and eventually acquitted for the 2007 death of another student in Italy.
tt5952332,2016,Amanda Knox,Movie,92,Brian McGinn,American exchange student Amanda Knox is convicted and eventually acquitted for the 2007 death of another student in Italy.
tt1559549,2010,Restrepo,Movie,93,Tim Hetherington,A year with one platoon in the deadliest valley in Afghanistan.
tt1559549,2010,Restrepo,Movie,93,Sebastian Junger,A year with one platoon in the deadliest valley in Afghanistan.
tt0379557,2003,Touching the Void,Movie,106,Kevin Macdonald,The true story of two climbers and their perilous journey up the west face of Siula Grande in the Peruvian Andes in 1985.
tt0076578,1977,Pumping Iron,Movie,85,George Butler,Arnold Schwarzenegger's Documentary about Gym Hall has Muscle and bigger guy and there past.
tt0076578,1977,Pumping Iron,Movie,85,Robert Fiore,Arnold Schwarzenegger's Documentary about Gym Hall has Muscle and bigger guy and there past.
tt0312318,2002,9/11,Movie,112,James Hanlon,"A real life documentary following the events of September 11 from an insider's view, through the lens of James Hanlon and two French filmmakers who were in Manhattan that one day."
tt0312318,2002,9/11,Movie,112, Gédéon Naudet,"A real life documentary following the events of September 11 from an insider's view, through the lens of James Hanlon and two French filmmakers who were in Manhattan that one day."
tt0312318,2002,9/11,Movie,112,Jules Naudet,"A real life documentary following the events of September 11 from an insider's view, through the lens of James Hanlon and two French filmmakers who were in Manhattan that one day."
tt4461838,2015,X-Rated: The Greatest Adult Movies of All Time,Movie,95,Bryn Pryor,A look at a plethora of pornographic films ranging from the 1970s to the 2010s and a commentary about their lasting impacts on the adult industry and the world.
tt1935156,2013,Jodorowsky's Dune,Movie,90,Frank Pavich,The story of cult film director Alejandro Jodorowsky's ambitious but ultimately doomed film adaptation of the seminal science fiction novel.
tt5929776,2016,Before the Flood,Movie,96,Fisher Stevens,"A look at how climate change affects our environment and what society can do to prevent the demise of endangered species, ecosystems and native communities across the planet."
,2018,Dominion,Movie,,Chris Delforce,"Dominion uses drones, hidden and handheld cameras to expose the dark underbelly of modern animal agriculture, questioning the morality and validity of humankind's dominion over the animal ... See full summary »"
,2017,Expedition Happiness,Movie,,Felix Starck,"Two free spirits, one dog. Traveling the vast spaces of an enormous continent in search of something more."
,2005,Inside Deep Throat,Movie,,Fenton Bailey,"An examination of the infamous pornographic film Deep Throat (1972), covering aspects from the film's creation to its cultural impact."
,2005,Inside Deep Throat,Movie,,Randy Barbato,"An examination of the infamous pornographic film Deep Throat (1972), covering aspects from the film's creation to its cultural impact."
,2014,Citizenfour,Movie,,Laura Poitras,A documentarian and a reporter travel to Hong Kong for the first of many meetings with Edward Snowden.
,1978,Faces of Death,Movie,,John Alan Schwartz,"A collection of death scenes, ranging from TV-material to home-made super-8 movies The common factor is death by some means."
,2010,Senna,Movie,,Asif Kapadia,"A documentary on Brazilian Formula One racing driver Ayrton Senna, who won the F1 world championship three times before his death at age 34."
